,importance
number_of_reviews_ltm,0.9596461688805358
last_review_year,0.024467251990710974
last_review_month,0.0031520597072696717
license,0.002839110581012222
minimum_nights,0.0025225941506971062
log_price,0.0021981457960239424
host_id,0.0009175049101285657
calculated_host_listings_count,0.0008933782651280835
reviews_per_month,0.0008566256536879749
latitude,0.0008107146244755506
number_of_reviews,0.0007902950746260759
longitude,0.0005707521086802196
neighbourhood_group,0.00031841461013914655
availability_365,1.6983646884639188e-05
